company_permalink,angel,convertible_note,debt_financing,post_ipo_equity,private_equity,seed,undisclosed,venture,A,B,C,D,E,F,G,H,sum(raised_amount_usd)
/organization/coramaze-technologies,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5056350
/organization/e-blink,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2430000
/organization/attune-foods,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5000000
/organization/loraxag,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4500000
/organization/epiance,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7500000
/organization/demandware,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,32100000
/organization/dealised,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5270907
/organization/memsic,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1900000
/organization/pomelo-network,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1300000
/organization/contravir-pharmaceuticals,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9000000
/organization/peakstream,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,22000000
/organization/outerbay-technologies,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12000000
/organization/mytopia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3200000
/organization/mywaves,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,9040000
/organization/eragen-biosciences,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12000000
/organization/deliveright,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1450000
/organization/metagraphic-inc,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5100000
/organization/bowman-power,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6700000
/organization/new-net,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1100000
/organization/pintail-technologies,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,10000000
/organization/moe-delo,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,9000000
/organization/nexgen-storage,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,12000000
/organization/keeptruckin,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8000000
/organization/homejoy,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,38000000
/organization/northface-university,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13000000
/organization/everybodycar,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,192645
/organization/guanri,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,5520000
/organization/argen-x,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,61949000
/organization/altobeam,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,12000000
/organization/earnest,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,94800000
/organization/ludi,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1000000
/organization/adaptivity,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,13200000
/organization/moo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5000000
/organization/health-guru-media-inc,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,9450000
/organization/comeks,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1000000
/organization/global-netoptex,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10001228
/organization/mylife-com,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25000000
/organization/aclaris-therapeutics,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,82000000
/organization/abpathfinder,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2250000
/organization/ku6,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,40000000
/organization/indix,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,29494730
/organization/oversi,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,18900000
/organization/massive,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10000000
/organization/piczo,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11000000
/organization/panorama-education,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12000000
/organization/i-and-c-cruise-co-ltd,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1989441
/organization/geostellar,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,15500000
/organization/izea,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,10000000
/organization/aerpio-therapeutics,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,36000000
/organization/plastyc,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2000000
/organization/limeroad,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,50000000
/organization/genasys,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2780000
/organization/aster-data-systems,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,52000000
/organization/5min,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,12500000
/organization/spine-next,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,13708764
/organization/targetcast-networks,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,12800000
/organization/virtual-paper,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1275277
/organization/pulse,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9000000
/organization/the-oceanaire,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4250000
/organization/tolera-therapeutics,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5500000
/organization/siamosoci,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1350000
